chlorides,fixed acidity,pH,sulphates,volatile acidity,quality white
0.025 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.2 ,0.49 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.05 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.48 ,0.52 g(potassium sulphate)/dm^3,0.67 g(acetic acid)/dm^3,False
0.058 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.09 ,0.44 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.033 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.0 ,0.53 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,False
0.039 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.39 ,0.54 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.048 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.64 ,0.54 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.037 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.05 ,0.54 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.119 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.19 ,0.38 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.047 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.18 ,0.44 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,False
0.033 g(sodium chloride)/dm^3,6.1 g(tartaric acid)/dm^3,3.35 ,0.47 g(potassium sulphate)/dm^3,1.1 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.42 ,0.55 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,False
0.094 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,3.22 ,0.5 g(potassium sulphate)/dm^3,0.61 g(acetic acid)/dm^3,False
0.067 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.43 ,0.52 g(potassium sulphate)/dm^3,0.7 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,5.8 g(tartaric acid)/dm^3,3.23 ,0.94 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,True
0.048 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.44 ,0.76 g(potassium sulphate)/dm^3,0.57 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,5.9 g(tartaric acid)/dm^3,3.19 ,0.5 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.053 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.11 ,0.49 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.101 g(sodium chloride)/dm^3,8.9 g(tartaric acid)/dm^3,3.21 ,0.59 g(potassium sulphate)/dm^3,0.48 g(acetic acid)/dm^3,False
0.084 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.31 ,0.48 g(potassium sulphate)/dm^3,0.69 g(acetic acid)/dm^3,False
0.03 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.16 ,0.46 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,9.7 g(tartaric acid)/dm^3,3.3 ,0.86 g(potassium sulphate)/dm^3,0.53 g(acetic acid)/dm^3,False
0.029 g(sodium chloride)/dm^3,8.9 g(tartaric acid)/dm^3,3.13 ,0.48 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.032 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.2 ,0.39 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.059 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,2.99 ,0.46 g(potassium sulphate)/dm^3,0.305 g(acetic acid)/dm^3,False
0.066 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.47 ,0.67 g(potassium sulphate)/dm^3,0.65 g(acetic acid)/dm^3,False
0.04 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.32 ,0.65 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,True
0.096 g(sodium chloride)/dm^3,9.3 g(tartaric acid)/dm^3,3.25 ,0.42 g(potassium sulphate)/dm^3,0.655 g(acetic acid)/dm^3,False
0.032 g(sodium chloride)/dm^3,8.4 g(tartaric acid)/dm^3,2.91 ,0.32 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.03 ,0.37 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,True
0.035 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.08 ,0.54 g(potassium sulphate)/dm^3,0.285 g(acetic acid)/dm^3,True
0.1 g(sodium chloride)/dm^3,12.5 g(tartaric acid)/dm^3,3.25 ,0.74 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.201 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.27 ,0.38 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.28 ,0.57 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,True
0.079 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.36 ,0.61 g(potassium sulphate)/dm^3,0.43 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.19 ,0.45 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,False
0.073 g(sodium chloride)/dm^3,8.2 g(tartaric acid)/dm^3,3.4 ,0.78 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.054 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.18 ,0.49 g(potassium sulphate)/dm^3,0.41 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.3 ,0.49 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.063 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.09 ,0.63 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.077 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.27 ,0.45 g(potassium sulphate)/dm^3,0.64 g(acetic acid)/dm^3,False
0.053 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,2.93 ,0.44 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,False
0.019 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.08 ,0.49 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,True
0.103 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.45 ,0.62 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.072 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.32 ,0.68 g(potassium sulphate)/dm^3,0.67 g(acetic acid)/dm^3,False
0.032 g(sodium chloride)/dm^3,6.1 g(tartaric acid)/dm^3,3.26 ,0.47 g(potassium sulphate)/dm^3,0.44 g(acetic acid)/dm^3,True
0.152 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,2.99 ,0.38 g(potassium sulphate)/dm^3,0.325 g(acetic acid)/dm^3,False
0.157 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.11 ,0.53 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,True
0.053 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.01 ,0.98 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.032 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.17 ,0.53 g(potassium sulphate)/dm^3,0.58 g(acetic acid)/dm^3,True
0.03 g(sodium chloride)/dm^3,5.9 g(tartaric acid)/dm^3,3.4 ,0.41 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.226 g(sodium chloride)/dm^3,8.7 g(tartaric acid)/dm^3,3.32 ,0.6 g(potassium sulphate)/dm^3,0.7 g(acetic acid)/dm^3,False
0.05 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.38 ,0.62 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,False
0.068 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.3 ,1.17 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.041 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,2.9 ,0.57 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,5.9 g(tartaric acid)/dm^3,3.48 ,0.85 g(potassium sulphate)/dm^3,0.44 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.8 ,0.66 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.075 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.36 ,0.58 g(potassium sulphate)/dm^3,0.64 g(acetic acid)/dm^3,False
0.042 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,2.99 ,0.4 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.18 ,0.53 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,False
0.043 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.0 ,0.47 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.031 g(sodium chloride)/dm^3,5.2 g(tartaric acid)/dm^3,3.14 ,0.31 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,True
0.072 g(sodium chloride)/dm^3,8.2 g(tartaric acid)/dm^3,3.2 ,0.45 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.025 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.03 ,0.32 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,True
0.077 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.34 ,0.59 g(potassium sulphate)/dm^3,0.56 g(acetic acid)/dm^3,False
0.031 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.3 ,0.34 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.076 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.61 ,0.64 g(potassium sulphate)/dm^3,0.54 g(acetic acid)/dm^3,False
0.059 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.39 ,0.4 g(potassium sulphate)/dm^3,0.75 g(acetic acid)/dm^3,False
0.098 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.03 ,0.47 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,False
0.048 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.0 ,0.6 g(potassium sulphate)/dm^3,0.38 g(acetic acid)/dm^3,True
0.054 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.16 ,0.38 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,True
0.047 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.2 ,0.53 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.079 g(sodium chloride)/dm^3,7.9 g(tartaric acid)/dm^3,3.23 ,0.54 g(potassium sulphate)/dm^3,0.52 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.2 ,0.69 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.086 g(sodium chloride)/dm^3,7.9 g(tartaric acid)/dm^3,3.35 ,0.6 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.22 ,0.46 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.17 ,0.45 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.087 g(sodium chloride)/dm^3,9.4 g(tartaric acid)/dm^3,3.31 ,0.53 g(potassium sulphate)/dm^3,0.615 g(acetic acid)/dm^3,False
0.064 g(sodium chloride)/dm^3,12.5 g(tartaric acid)/dm^3,3.08 ,0.87 g(potassium sulphate)/dm^3,0.56 g(acetic acid)/dm^3,False
0.029 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.33 ,0.64 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.048 g(sodium chloride)/dm^3,8.4 g(tartaric acid)/dm^3,3.25 ,0.5 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,True
0.031 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.12 ,0.39 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.049 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.43 ,0.38 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.22 ,0.46 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.077 g(sodium chloride)/dm^3,7.8 g(tartaric acid)/dm^3,3.16 ,0.46 g(potassium sulphate)/dm^3,0.53 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,2.99 ,0.45 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.138 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.08 ,0.3 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,False
0.05 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.17 ,0.49 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.074 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.47 ,0.7 g(potassium sulphate)/dm^3,0.6 g(acetic acid)/dm^3,False
0.041 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.24 ,0.47 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,False
0.083 g(sodium chloride)/dm^3,8.6 g(tartaric acid)/dm^3,3.3 ,0.48 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.3 ,0.51 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.043 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.08 ,0.38 g(potassium sulphate)/dm^3,0.345 g(acetic acid)/dm^3,False
0.027 g(sodium chloride)/dm^3,5.2 g(tartaric acid)/dm^3,3.56 ,0.45 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,True
0.079 g(sodium chloride)/dm^3,9.8 g(tartaric acid)/dm^3,3.15 ,0.53 g(potassium sulphate)/dm^3,1.24 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.37 ,0.54 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.034 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.17 ,0.5 g(potassium sulphate)/dm^3,0.35 g(acetic acid)/dm^3,False
0.036 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.26 ,0.58 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.092 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.21 ,0.36 g(potassium sulphate)/dm^3,0.13 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,9.8 g(tartaric acid)/dm^3,3.18 ,0.45 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.12 ,0.53 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,True
0.053 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.11 ,0.6 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,2.98 ,0.44 g(potassium sulphate)/dm^3,0.22 g(acetic acid)/dm^3,True
0.076 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.1 ,0.4 g(potassium sulphate)/dm^3,0.61 g(acetic acid)/dm^3,False
0.046 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.03 ,0.38 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,False
0.076 g(sodium chloride)/dm^3,7.5 g(tartaric acid)/dm^3,3.39 ,0.54 g(potassium sulphate)/dm^3,0.49 g(acetic acid)/dm^3,False
0.413 g(sodium chloride)/dm^3,8.4 g(tartaric acid)/dm^3,3.06 ,1.06 g(potassium sulphate)/dm^3,0.37 g(acetic acid)/dm^3,False
0.079 g(sodium chloride)/dm^3,8.5 g(tartaric acid)/dm^3,3.52 ,0.63 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,8.1 g(tartaric acid)/dm^3,3.37 ,0.74 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.038 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.03 ,0.43 g(potassium sulphate)/dm^3,0.4 g(acetic acid)/dm^3,False
0.04 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.26 ,0.64 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.031 g(sodium chloride)/dm^3,5.3 g(tartaric acid)/dm^3,3.34 ,0.46 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,True
0.081 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.46 ,0.5 g(potassium sulphate)/dm^3,0.52 g(acetic acid)/dm^3,False
0.06 g(sodium chloride)/dm^3,6.0 g(tartaric acid)/dm^3,3.14 ,0.51 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.23 ,0.47 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.1 ,0.4 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,True
0.07 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.38 ,0.77 g(potassium sulphate)/dm^3,0.33 g(acetic acid)/dm^3,False
0.073 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.1 ,0.46 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.055 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.26 ,0.54 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,False
0.08 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.21 ,0.8 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.038 g(sodium chloride)/dm^3,6.7 g(tartaric acid)/dm^3,3.21 ,0.46 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.04 g(sodium chloride)/dm^3,6.3 g(tartaric acid)/dm^3,3.12 ,0.66 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,False
0.037 g(sodium chloride)/dm^3,9.2 g(tartaric acid)/dm^3,3.09 ,0.32 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,False
0.049 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.3 ,0.54 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.049 g(sodium chloride)/dm^3,9.7 g(tartaric acid)/dm^3,2.98 ,0.62 g(potassium sulphate)/dm^3,0.14 g(acetic acid)/dm^3,False
0.074 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.38 ,0.72 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.016 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,2.84 ,0.54 g(potassium sulphate)/dm^3,0.4 g(acetic acid)/dm^3,True
0.046 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.14 ,0.57 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.061 g(sodium chloride)/dm^3,10.7 g(tartaric acid)/dm^3,3.18 ,0.62 g(potassium sulphate)/dm^3,0.46 g(acetic acid)/dm^3,False
0.05 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,2.9 ,0.43 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.118 g(sodium chloride)/dm^3,10.9 g(tartaric acid)/dm^3,3.07 ,0.56 g(potassium sulphate)/dm^3,0.53 g(acetic acid)/dm^3,False
0.034 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.08 ,0.47 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,True
0.08 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.23 ,0.39 g(potassium sulphate)/dm^3,0.13 g(acetic acid)/dm^3,True
0.069 g(sodium chloride)/dm^3,9.5 g(tartaric acid)/dm^3,3.29 ,0.81 g(potassium sulphate)/dm^3,0.39 g(acetic acid)/dm^3,False
0.034 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.07 ,0.53 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.038 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.11 ,0.44 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,5.4 g(tartaric acid)/dm^3,3.29 ,0.75 g(potassium sulphate)/dm^3,0.29 g(acetic acid)/dm^3,True
0.053 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.17 ,0.68 g(potassium sulphate)/dm^3,0.15 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.36 ,0.71 g(potassium sulphate)/dm^3,0.32 g(acetic acid)/dm^3,True
0.045 g(sodium chloride)/dm^3,5.8 g(tartaric acid)/dm^3,3.28 ,0.42 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.27 ,0.5 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,True
0.069 g(sodium chloride)/dm^3,6.1 g(tartaric acid)/dm^3,3.42 ,0.74 g(potassium sulphate)/dm^3,0.4 g(acetic acid)/dm^3,False
0.058 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.28 ,0.59 g(potassium sulphate)/dm^3,0.27 g(acetic acid)/dm^3,False
0.07 g(sodium chloride)/dm^3,8.0 g(tartaric acid)/dm^3,3.34 ,0.57 g(potassium sulphate)/dm^3,0.52 g(acetic acid)/dm^3,False
0.057 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.15 ,0.41 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.055 g(sodium chloride)/dm^3,8.5 g(tartaric acid)/dm^3,3.07 ,0.67 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.035 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.41 ,0.47 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.069 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,3.42 ,0.43 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,5.7 g(tartaric acid)/dm^3,3.48 ,0.52 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.32 ,0.59 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,2.96 ,0.59 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,7.7 g(tartaric acid)/dm^3,3.18 ,0.63 g(potassium sulphate)/dm^3,0.3 g(acetic acid)/dm^3,False
0.062 g(sodium chloride)/dm^3,9.7 g(tartaric acid)/dm^3,3.27 ,0.66 g(potassium sulphate)/dm^3,0.31 g(acetic acid)/dm^3,False
0.167 g(sodium chloride)/dm^3,7.1 g(tartaric acid)/dm^3,2.97 ,0.51 g(potassium sulphate)/dm^3,0.21 g(acetic acid)/dm^3,False
0.052 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.03 ,0.58 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.054 g(sodium chloride)/dm^3,5.4 g(tartaric acid)/dm^3,3.42 ,0.52 g(potassium sulphate)/dm^3,0.375 g(acetic acid)/dm^3,False
0.044 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.15 ,0.5 g(potassium sulphate)/dm^3,0.125 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,6.4 g(tartaric acid)/dm^3,3.03 ,0.63 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
,7.7 g(tartaric acid)/dm^3,3.32 ,0.49 g(potassium sulphate)/dm^3,0.16 g(acetic acid)/dm^3,True
0.054 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.19 ,0.39 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,False
0.084 g(sodium chloride)/dm^3,7.3 g(tartaric acid)/dm^3,3.61 ,0.96 g(potassium sulphate)/dm^3,0.66 g(acetic acid)/dm^3,False
0.051 g(sodium chloride)/dm^3,7.9 g(tartaric acid)/dm^3,3.18 ,0.48 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.066 g(sodium chloride)/dm^3,12.2 g(tartaric acid)/dm^3,3.12 ,1.18 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,False
0.045 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.33 ,0.43 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,True
0.041 g(sodium chloride)/dm^3,6.5 g(tartaric acid)/dm^3,3.34 ,0.72 g(potassium sulphate)/dm^3,0.18 g(acetic acid)/dm^3,True
0.028 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.11 ,0.66 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,True
0.042 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.05 ,0.55 g(potassium sulphate)/dm^3,0.13 g(acetic acid)/dm^3,True
